Package                                      Current       Wanted   Latest  Location                                              Depended by
@hookform/resolvers                           3.10.0       3.10.0    5.4.0  node_modules/@hookform/resolvers                      Aether_Coin_biozonecurrency
@neondatabase/serverless                      0.10.4       0.10.4    1.1.0  node_modules/@neondatabase/serverless                 Aether_Coin_biozonecurrency
@replit/vite-plugin-cartographer              0.0.11       0.0.11    0.6.0  node_modules/@replit/vite-plugin-cartographer         Aether_Coin_biozonecurrency
@replit/vite-plugin-runtime-error-modal        0.0.3        0.0.3    0.0.6  node_modules/@replit/vite-plugin-runtime-error-modal  Aether_Coin_biozonecurrency
@stripe/react-stripe-js                       3.10.0       3.10.0    6.6.0  node_modules/@stripe/react-stripe-js                  Aether_Coin_biozonecurrency
@stripe/stripe-js                              7.9.0        7.9.0    9.8.0  node_modules/@stripe/stripe-js                        Aether_Coin_biozonecurrency
@tailwindcss/vite                              4.1.3        4.1.3    4.3.1  node_modules/@tailwindcss/vite                        Aether_Coin_biozonecurrency
@types/express                               4.17.25      4.17.25    5.0.6  node_modules/@types/express                           Aether_Coin_biozonecurrency
@types/multer                                 1.4.13       1.4.13    2.1.0  node_modules/@types/multer                            Aether_Coin_biozonecurrency
@types/node                                 20.16.11     20.16.11   26.0.1  node_modules/@types/node                              Aether_Coin_biozonecurrency
@types/react                                 18.3.31      18.3.31  19.2.17  node_modules/@types/react                             Aether_Coin_biozonecurrency
@types/react-dom                              18.3.7       18.3.7   19.2.3  node_modules/@types/react-dom                         Aether_Coin_biozonecurrency
@vitejs/plugin-react                           4.3.4        4.3.4    6.0.3  node_modules/@vitejs/plugin-react                     Aether_Coin_biozonecurrency
autoevals                                    0.0.127      0.0.127  0.0.132  node_modules/autoevals                                Aether_Coin_biozonecurrency
autoprefixer                                 10.4.21      10.4.21   10.5.2  node_modules/autoprefixer                             Aether_Coin_biozonecurrency
braintrust                                   0.0.199      0.0.199   3.20.0  node_modules/braintrust                               Aether_Coin_biozonecurrency
date-fns                                       3.6.0        3.6.0    4.4.0  node_modules/date-fns                                 Aether_Coin_biozonecurrency
diff                                           7.0.0        7.0.0    9.0.0  node_modules/diff                                     Aether_Coin_biozonecurrency
dotenv                                        16.4.7       16.4.7   17.4.2  node_modules/dotenv                                   Aether_Coin_biozonecurrency
drizzle-kit                                   0.30.6       0.30.6  0.31.10  node_modules/drizzle-kit                              Aether_Coin_biozonecurrency
drizzle-orm                                   0.39.3       0.39.3   0.45.2  node_modules/drizzle-orm                              Aether_Coin_biozonecurrency
drizzle-zod                                    0.7.1        0.7.1    0.8.3  node_modules/drizzle-zod                              Aether_Coin_biozonecurrency
esbuild                                      0.25.12      0.25.12   0.28.1  node_modules/esbuild                                  Aether_Coin_biozonecurrency
express                                       4.22.2       4.22.2    5.2.1  node_modules/express                                  Aether_Coin_biozonecurrency
express-rate-limit                             7.5.1        7.5.1    8.5.2  node_modules/express-rate-limit                       Aether_Coin_biozonecurrency
firebase                                      11.6.1       11.6.1  12.15.0  node_modules/firebase                                 Aether_Coin_biozonecurrency
framer-motion                                11.18.2      11.18.2  12.41.0  node_modules/framer-motion                            Aether_Coin_biozonecurrency
glob                                           9.3.5        9.3.5   13.0.6  node_modules/glob                                     Aether_Coin_biozonecurrency
helia                                          5.5.1        5.5.1    6.1.4  node_modules/helia                                    Aether_Coin_biozonecurrency
